material,ethanol_pct,temperature_C,water_ppm,chloride_mg_L,dissolved_O2_ppm,TAN_mgKOH_g,conductivity_uS_cm,flow_velocity_m_s,exposure_hours,surface_roughness_Ra_um,inhibitor_present,pH,corrosion_rate_mm_per_y
ZnCoatedSteel,0,19.97,267.2,4.92,2.03,0.11,18.43,0.232,158,2.64,0,6.57,0.01925
SS304,15,42.62,509.8,4.31,7.08,0.188,70.67,0.487,259,1.8,1,6.76,0.00158
SS304,5,40.08,394.7,6.14,6.51,0.092,17.57,0.048,289,1.369,0,6.29,0.00149
Copper,10,27.98,382.8,24.39,0.66,0.126,49.86,0.497,268,2.282,0,6.33,0.03719
Brass,15,31.1,363.9,1.29,7.15,0.176,83.25,0.455,235,0.958,0,6.6,0.03306
Brass,0,58.06,334.6,1.46,7.71,0.072,27.93,0.278,295,0.574,0,6.78,0.01159
Copper,10,28.94,289.4,7.36,3.98,0.21,37.71,1.747,39,0.7,0,6.44,0.01668
Copper,0,25.46,405,1.84,4.25,0.09,39.92,0.751,25,1.865,1,7.24,0.04496
Brass,15,27.48,440,2.45,5.06,0.17,60.43,0.814,118,0.47,0,6.71,0.02428
Copper,15,39.32,363.1,12.4,4.73,0.198,66.36,0.758,143,0.797,0,6.63,0.02811
SS304,0,45.54,294.3,9.4,3.16,0.059,15.79,0.365,168,1.955,0,6.48,0.00215
LowCarbonSteel,5,51.06,454.1,0.51,2.28,0.071,26.88,0.146,158,0.05,0,7.18,0.03637
Al6061,0,32.1,96.6,17.6,1.54,0.165,26.97,0.668,56,0.759,0,6.99,0.01714
ZnCoatedSteel,5,16.28,276.1,3.52,7.95,0.156,31.84,0.158,136,1.884,0,6.73,0.03324
Brass,5,41.94,170.3,2.55,4.72,0.06,41.99,0.012,286,1.659,0,6.49,0.01803
SS304,5,26.22,390.3,12.05,6.95,0.12,28.08,0.519,149,1.742,0,6.6,0.0043
ZnCoatedSteel,5,35.46,454.1,3.31,0.54,0.09,43.28,0.524,79,1.197,0,6.74,0.02255
Al6061,5,50.23,33.2,10.19,1.43,0.183,49.81,0.138,80,1.296,0,6.65,0.00599
SS304,0,16.89,174.8,11.29,5.16,0.071,17.58,0.088,78,0.947,0,6.55,0.00616
Brass,5,32.54,448.2,6.28,3.98,0.075,25.22,0.16,97,1.853,0,7.15,0.02472
Copper,10,49.2,237.6,3.03,0.74,0.098,41.05,0.614,88,1.546,1,6.97,0.01094
Brass,5,35.23,522.5,4.41,2.43,0.088,34.29,0.2,288,2.81,0,6.78,0.01876
Copper,10,46.34,429.4,21,7.61,0.156,53.65,0.519,271,1.335,0,6.69,0.03708
Copper,10,32.33,261.7,19.67,6.73,0.122,52.04,0.324,311,0.959,0,6.53,0.02786
ZnCoatedSteel,10,49.83,796.5,6.03,3.51,0.117,53.33,0.373,75,1.954,0,6.88,0.01391
Al6061,5,22.43,158.2,2.22,5.68,0.127,48.53,0.27,243,1.246,0,6.45,0.0194
Al6061,10,60.13,187.4,11.22,1.72,0.209,71.48,0.559,56,1.11,1,6.38,0.00218
Copper,10,15.33,481.1,5.17,4.16,0.246,41.82,1.261,164,0.626,0,7.12,0.06189
Al6061,15,21.43,434.9,1.58,1.76,0.16,68.08,0.245,234,1.251,1,6.01,0.01016
LowCarbonSteel,15,30.3,296.6,4.4,7.91,0.165,83.26,0.77,53,1.455,1,6.09,0.03509
Al6061,15,46.04,522.5,6.52,7.3,0.195,77.69,1.125,141,2.501,0,7.32,0.00955
Copper,10,55.09,245.9,6.59,1.59,0.087,55.97,0.889,232,1.589,0,6.92,0.01626
SS304,0,36.05,314.5,3.59,1.23,0.119,24.63,0.38,86,2.126,1,7.18,0.00271
LowCarbonSteel,10,61.46,380,16.55,5.61,0.241,35.52,0.477,62,1.94,0,6.5,0.02057
Brass,15,40.05,590.4,4.93,3.84,0.19,51.91,0.891,82,0.678,0,6.69,0.01425
Brass,15,63.27,366.7,4.85,7.44,0.183,78.83,1.019,55,0.511,0,6.53,0.01008
Al6061,10,46.75,350.5,11.57,4,0.127,48.29,0.263,271,0.215,0,7.74,0.0082
LowCarbonSteel,15,29.42,359.7,13.48,0.98,0.194,56.59,0.222,329,0.873,0,6.31,0.06752
Copper,0,62.09,550.7,4.49,2.7,0.113,22.35,0.529,56,1.452,1,7.02,0.01271
ZnCoatedSteel,5,15.91,346.7,3.68,3.47,0.15,39.23,0.854,305,0.886,0,6.76,0.03522
SS304,5,58.6,398.4,5.99,4.23,0.135,27.51,0.308,158,1.724,0,6.69,0.00104
SS304,15,20.77,407.2,17.9,5.17,0.235,56.54,0.879,200,1.912,0,6.03,0.00473
SS304,0,43.68,0,8.81,3.4,0.089,34.9,0.347,62,1.69,1,6.25,0.00158
ZnCoatedSteel,0,19.81,459.8,6.34,6.98,0.09,13.62,0.823,168,1.71,0,6.69,0.03579
Al6061,5,65.16,464.3,3.07,6.09,0.149,40.11,0.857,224,0.812,0,6.87,0.00465
Brass,5,51.68,525.4,39.14,2.54,0.089,33.14,0.492,131,2.175,0,6.39,0.01192
Brass,10,47.32,537.6,15.03,1.96,0.201,61.13,0.105,205,1.653,1,6.78,0.01194
Brass,10,67.22,374.9,10.41,1.09,0.108,45.77,0.706,59,0.453,0,5.91,0.00732
Al6061,5,30.56,487.2,4.93,2.28,0.125,47.29,1.012,231,2.027,0,6.74,0.01965
LowCarbonSteel,0,38.93,96.6,8.18,7.18,0.095,22.86,1.022,30,0.953,0,6.97,0.0691
Al6061,15,64.3,527.3,12.23,4.39,0.127,72.53,0.685,73,1.276,1,5.75,0.00253
Copper,5,28.45,369,5.21,5,0.209,36.02,0.614,315,1.75,0,6.65,0.02836
ZnCoatedSteel,5,30.03,149.3,9.36,2.52,0.114,28.76,0.617,237,0.457,0,7.23,0.02985
ZnCoatedSteel,5,38.38,147.5,0.63,6.78,0.084,24.79,0.128,81,0.932,0,6.33,0.01296
LowCarbonSteel,15,20.24,358.3,15.94,3.59,0.139,81.84,0.215,332,0.458,1,6.27,0.04899
Copper,5,33.15,218.3,10.13,4.62,0.074,36.79,0.428,183,1.037,0,6.19,0.0242
Al6061,15,60.19,226,15.28,7.14,0.206,54.22,0.54,112,1.142,0,5.93,0.00408
LowCarbonSteel,0,62,202.5,21.29,3.05,0.073,14.4,0.644,282,2.003,0,6.98,0.02006
Copper,5,38.28,368,2.74,4.6,0.122,33.02,0.472,50,2.174,0,6.49,0.02094
SS304,15,42.75,445.2,10.01,5.75,0.092,48.89,0.578,184,0.71,0,6.6,0.00173
Copper,5,42.29,359.8,8,6.03,0.142,60.25,0.53,145,1.368,0,6.32,0.01937
ZnCoatedSteel,5,44.29,365.4,19.9,2.64,0.119,43.73,0.039,257,1.135,0,6.2,0.00858
LowCarbonSteel,0,45.83,459.2,13.26,2.89,0.07,30.09,0.044,60,1.844,0,6.39,0.03201
SS304,10,51.24,558.3,4.7,7.8,0.107,29.58,0.037,334,1.578,0,5.96,0.00119
ZnCoatedSteel,5,62.6,122.6,12.33,3.16,0.101,25.3,0.724,290,0.767,1,6.99,0.00791
ZnCoatedSteel,0,24.99,129.4,3.52,7.09,0.092,33.7,0.013,319,1.358,0,7.44,0.03263
Brass,10,64.01,321.5,3.79,6.12,0.09,56.45,0.345,80,1.549,1,7.01,0.00956
SS304,10,45.24,239.1,11.87,5.43,0.11,41.27,0.913,58,1.387,0,6.52,0.00243
Copper,10,58.58,318.6,7.55,2.39,0.175,54.72,0.357,36,1.941,0,6.54,0.01359
ZnCoatedSteel,15,15.32,387.4,3.61,5.82,0.133,66.48,0.158,57,1.137,0,6.14,0.03141
Copper,10,21.19,313.6,4.14,0.9,0.139,53.04,0.774,259,0.723,0,6.48,0.05871
LowCarbonSteel,5,63.26,264.3,6.81,2.01,0.11,35.1,0.846,85,2.285,1,6.6,0.01617
ZnCoatedSteel,10,69.47,287.6,0.36,5.17,0.118,51.09,0.156,138,0.802,0,6.24,0.00489
ZnCoatedSteel,15,49.49,134.7,1.73,7.94,0.167,51.71,0.293,326,0.339,1,5.9,0.00803
SS304,15,35.91,494.2,10.91,4.87,0.155,70.99,0.875,68,0.933,0,6.79,0.00294
LowCarbonSteel,5,19.27,353.5,6.36,7.98,0.061,38.11,0.675,111,1.827,1,6.34,0.03751
SS304,10,21.9,463.7,4.73,6.68,0.084,42.77,0.379,210,2.033,0,6.56,0.00588
SS304,15,65.09,439.7,3.99,4.39,0.141,73.39,0.452,202,1.926,0,6.11,0.00084
Brass,15,45.09,365.2,10.38,3.39,0.125,71.3,0.971,97,1.507,0,6.48,0.01669
Al6061,10,39.83,412.1,1.3,6.03,0.144,52.71,0.895,131,1.04,0,5.92,0.00794
LowCarbonSteel,15,42.04,375.5,4.21,2.61,0.145,71.76,0.945,163,1.245,1,6.35,0.02089
Brass,10,37.66,455.6,1.82,4.58,0.203,69.83,0.044,270,0.05,1,6.73,0.01554
Brass,0,18.9,185.4,15.65,4.38,0.103,26.81,0.474,280,1.867,1,6.89,0.02873
Brass,15,21.4,308.6,5.44,4.01,0.158,59.52,0.874,179,0.728,0,7.18,0.03562
Al6061,0,19.04,286.8,3.47,0.71,0.093,7.81,0.854,334,1.509,0,7.08,0.02575
LowCarbonSteel,10,39.09,255.8,5.71,0.83,0.193,54.48,1.031,190,0.984,0,6.51,0.03368
Brass,5,45.11,415.6,3.92,6.58,0.101,20.38,0.784,123,1.375,1,7.12,0.01543
Brass,10,55.35,121,6.76,0.62,0.157,50.57,0.239,240,1.178,1,6.73,0.00804
Brass,0,52.53,285.3,22.03,0.87,0.153,14.89,0.322,300,0.986,0,6.21,0.01524
LowCarbonSteel,10,46.74,295,11.99,0.67,0.115,48.97,0.096,40,0.089,0,6.99,0.02525
SS304,0,38.67,185.2,30.16,5.28,0.09,19.93,0.249,45,1.193,1,6.63,0.00188
LowCarbonSteel,5,63.35,349.3,8.55,4.51,0.117,46.81,0.411,232,1,0,6.83,0.02988
ZnCoatedSteel,10,48.02,311.4,6.43,6.11,0.075,46.8,0.799,36,1.313,0,7.07,0.01053
Al6061,15,27.81,490.3,14.53,1.01,0.133,66.91,0.389,46,2.376,0,6.7,0.01729
Copper,15,68.88,597.7,1.16,1.31,0.066,53.51,0.998,169,1.242,0,6.49,0.01431
LowCarbonSteel,0,34.02,245.4,25.41,5.92,0.104,27.96,0.321,201,1.17,0,6.47,0.05789
Copper,5,44.53,341.3,10.05,2.4,0.168,18.7,1.219,30,1.181,0,6.66,0.02987
LowCarbonSteel,0,67.21,141.2,10.42,5.15,0.115,1.48,0.122,49,2.011,0,6.31,0.01726
LowCarbonSteel,0,48.45,394,9.05,1.9,0.005,23.83,0.959,139,1.471,1,6.34,0.0218
Copper,0,58.08,183.4,3.93,7.83,0.117,22.04,0.558,265,1.142,0,7.4,0.0153
ZnCoatedSteel,0,61.6,282,5.83,5.37,0.128,10.14,0.06,60,0.465,0,7.06,0.01069
LowCarbonSteel,15,58.79,741.9,21.28,3.72,0.09,49.27,0.511,331,1.857,0,6.58,0.02772
Copper,15,57.61,342,1.42,4.18,0.172,72.49,0.594,226,0.182,0,6.95,0.01508
ZnCoatedSteel,5,53.15,251.8,0.16,5.54,0.156,30.15,0.551,100,1.089,0,6.77,0.01387
ZnCoatedSteel,0,33.27,112.3,3.26,1.04,0.031,34.03,0.112,313,2.57,1,7.9,0.01427
Al6061,0,44.71,127.9,6.92,3.04,0.092,31.5,0.157,95,1.475,1,6.74,0.00685
SS304,0,24.21,82.2,5.65,7.06,0.074,17.61,0.692,94,0.826,0,6.42,0.007
LowCarbonSteel,5,39.82,391.6,7.31,5.67,0.156,19.89,0.926,248,1.101,0,6.02,0.03794
Al6061,5,45.68,181.6,2.1,5.85,0.139,43.96,0.868,141,0.678,0,6.83,0.0081
LowCarbonSteel,5,23.29,304.5,7.29,0.52,0.113,41.13,0.283,184,3.014,0,6.74,0.05191
Brass,5,58.05,377.4,1.01,4.37,0.099,59.98,0.906,116,1.794,1,6.14,0.01087
ZnCoatedSteel,0,64.01,182.7,10.69,7.79,0.096,14.69,1.315,142,1.968,0,6.6,0.01174
Brass,0,18.38,309.6,26.48,5.38,0.075,4.88,0.11,139,0.962,1,7.2,0.02567
Copper,0,31.19,244.3,18.82,7.34,0.147,18.26,0.136,91,1.501,0,6.92,0.03009
ZnCoatedSteel,5,67.13,351.2,8.42,5.09,0.099,52.63,0.638,187,0.676,0,7.36,0.00915
Brass,15,33.2,438,11.43,6.22,0.101,54.6,0.392,206,0.975,1,6.79,0.02608
Al6061,10,69.02,371.1,10.09,1.07,0.112,42.54,0.373,292,2.03,0,6.24,0.00346
LowCarbonSteel,0,27.48,328.1,13.01,5.75,0.122,13.34,0.593,139,1.27,0,7.15,0.07381
Al6061,5,29,225.3,1.8,4.24,0.156,31.55,0.354,216,0.936,0,6.82,0.01926
LowCarbonSteel,10,66.1,414.1,28.4,5.39,0.14,37.15,0.882,211,0.848,0,6.28,0.01955
Copper,0,23.25,218.4,1.3,5.31,0.068,21.46,1.097,204,2.202,0,7.5,0.06256
Brass,10,26.47,389.5,4.96,2.82,0.141,56.34,1.228,32,1.046,0,6.79,0.02016
LowCarbonSteel,5,54.06,271,16.35,6.86,0.217,24.21,0.474,89,1.361,0,6.63,0.02668
LowCarbonSteel,0,17.61,194.4,0.55,5.63,0.072,23.48,0.394,99,0.823,1,7.22,0.07039
Al6061,5,58.65,533.2,19.64,7.27,0.091,16.66,0.886,239,0.119,0,6.57,0.00577
LowCarbonSteel,10,22.49,127.4,12.35,6.12,0.121,47.81,0.595,308,1.719,1,7.5,0.10454
ZnCoatedSteel,5,23.92,389.3,1.7,6.49,0.132,22.77,0.027,139,1.185,0,7.03,0.04198
Brass,0,45.77,99.8,5.28,3.94,0.117,11.74,0.421,271,2.168,0,6.84,0.01296
Copper,5,45.07,440.5,22.04,2.54,0.048,18.89,0.553,214,1.011,0,6.5,0.02347
Al6061,10,41.55,373.7,12.7,2.79,0.208,61.56,0.288,306,0.05,0,6.05,0.00926
Al6061,5,52.22,216.9,8.95,2.09,0.085,39,0.337,301,1.758,0,6.59,0.00629
Copper,0,35.78,325.1,7.62,7.11,0.114,16.73,0.152,47,1.794,0,7.36,0.02999
Brass,15,64.62,428.8,20.01,1.2,0.081,52.69,0.161,119,1.659,1,6,0.00924
Copper,5,62.14,367.8,16.11,7.17,0.005,34.58,0.406,25,1.052,1,6.6,0.01213
Copper,10,32.98,330.1,16.96,1.57,0.074,45.99,1.059,158,0.221,0,6.81,0.03025
LowCarbonSteel,15,52.59,368,3.32,3.5,0.115,67.7,0.656,92,0.602,0,6.62,0.03422
LowCarbonSteel,5,64.26,260,24.66,5.51,0.13,34.12,0.004,33,1.261,1,6.89,0.02005
Brass,15,36.7,570,4.86,1.17,0.161,45.8,0.958,256,0.272,0,6.44,0.02257
LowCarbonSteel,0,18.04,326.8,4.06,3.47,0.135,14.65,0.129,31,0.371,1,6.87,0.04742
Al6061,0,68.36,193,4.46,3.28,0.102,0.77,0.134,215,1.357,1,7.45,0.00431
SS304,0,37.02,256.4,3.3,1.98,0.121,16.67,0.968,250,1.561,0,6.64,0.0036
Al6061,15,53.92,286.1,22.48,7.54,0.138,61.95,0.695,82,0.354,0,6.68,0.00541
Copper,10,29.24,518.2,10.63,2.45,0.169,32.4,0.716,139,0.981,0,5.99,0.02101
Brass,15,67.01,457.1,8.06,6.66,0.211,58.13,1.046,35,1.413,0,6.67,0.00902
SS304,15,20.96,282.4,16.43,3.66,0.153,55.79,0.865,158,0.54,1,7.26,0.00516
Brass,0,56.11,306.7,3.58,1.36,0.087,0.5,0.763,39,1.899,1,7.02,0.01037
Brass,0,39.88,113.6,6.18,5.43,0.102,17.04,0.174,253,1.606,1,6,0.00754
SS304,10,42.27,139.2,4.88,6.73,0.182,39.88,0.472,290,0.05,1,6.92,0.00138
Copper,0,45.86,361.9,10.59,7.65,0.132,0.5,0.436,233,2.079,0,7.28,0.02364
Copper,0,29.97,342.1,11.63,7.2,0.09,13.4,0.522,231,1.19,0,7.13,0.03517
Brass,0,47.12,197.1,5.43,2.41,0.094,32.72,0.13,278,2.391,1,6.02,0.00976
LowCarbonSteel,5,54.29,215.1,6.28,6.3,0.094,28.46,0.636,176,0.928,0,6.73,0.02923
SS304,10,65.38,391.7,0.26,0.64,0.107,45.3,0.334,191,1.591,1,6.24,0.00075
SS304,10,40.12,397.6,8.5,7.94,0.153,43.09,0.797,274,1.42,0,6.11,0.00283
Copper,5,46.54,257.4,5.65,3.89,0.093,47.89,0.664,162,0.05,1,5.71,0.01696
LowCarbonSteel,0,39.68,315.7,2.96,3.87,0.139,12.94,0.207,49,1.64,1,6.94,0.03632
Copper,15,21.36,265.3,6.23,5.58,0.154,65.39,0.462,170,0.638,0,6.87,0.04584
SS304,0,40.99,133.6,6.14,7.19,0.13,22.27,1.041,268,1.518,1,6.46,0.00168
ZnCoatedSteel,10,35.36,204.1,2.75,6.75,0.12,41.99,0.692,272,0.48,0,6.31,0.01573
Copper,15,45.97,296.7,21.17,1.83,0.14,65.1,0.159,208,1.771,0,6.17,0.02142
LowCarbonSteel,5,21.1,454.4,4.97,3,0.17,33.95,0.349,57,1.32,1,6.76,0.05064
LowCarbonSteel,5,26.03,251,2.46,1.13,0.128,28.66,0.67,147,0.549,1,7.25,0.07343
ZnCoatedSteel,10,39.02,418.8,2.46,1.49,0.193,42.19,0.609,296,0.587,0,6.37,0.01714
SS304,5,31.33,416.9,4.64,6.58,0.177,34.38,0.312,170,1.029,0,6.17,0.0035
ZnCoatedSteel,10,57.92,365.6,4.89,3.5,0.066,55.4,0.15,127,0.917,0,6.75,0.00814
Brass,0,28.53,239.5,5.92,5.6,0.058,39.62,0.467,319,0.13,0,6.75,0.02478
Copper,15,43.13,506.7,10.77,4.55,0.111,66.58,0.876,321,1.161,1,6.57,0.01787
ZnCoatedSteel,15,24.32,328.8,6.09,1.03,0.202,73.29,0.743,222,0.962,0,6.5,0.01625
SS304,10,50.78,388.3,12,4.6,0.108,68.99,0.181,25,2.248,0,6.52,0.00171
ZnCoatedSteel,5,20.74,255.7,4.3,2.33,0.067,37.79,0.014,86,1.335,0,6.58,0.0277
ZnCoatedSteel,5,42.42,94.4,6.21,2.56,0.214,40.41,0.502,34,1.151,0,6.59,0.0123
Al6061,0,36.03,216.2,13.24,7.35,0.043,29.54,0.676,164,0.836,0,6.9,0.01446
Al6061,10,27.99,308.1,18.96,7.7,0.053,69.45,0.636,171,1.742,0,6.14,0.00973
ZnCoatedSteel,0,22.13,353.4,15.73,5.48,0.113,20.86,0.102,215,0.711,0,7.11,0.02351
Al6061,5,24.26,388,4.07,0.85,0.152,44.63,0.566,210,0.763,0,6.79,0.01834
SS304,10,29.76,347.7,2.83,2.04,0.119,53.09,0.336,58,1.049,0,7.23,0.00406
ZnCoatedSteel,5,65.08,335.1,1.01,4.33,0.031,44.27,0.087,335,1.946,0,6.94,0.00933
Copper,5,65.96,463.4,1.83,7.62,0.188,50.2,0.759,334,0.624,0,7.67,0.01743
Brass,0,25.77,299.8,6.09,7.82,0.096,17.05,0.358,101,1.975,0,6.63,0.0278
ZnCoatedSteel,5,16.1,609.4,12.36,6.07,0.162,30.45,0.182,289,0.639,0,6.61,0.02857
ZnCoatedSteel,5,23.05,381.5,14.59,2.53,0.151,29.58,0.252,293,0.177,0,6.03,0.02788
Copper,5,68.15,377.9,10.49,3.81,0.103,34.98,0.424,113,0.479,1,6.74,0.01145
Al6061,15,52.55,508.9,2.93,2.45,0.172,55.61,0.319,222,1.823,0,6.52,0.00726
Al6061,5,38.58,439.9,14.27,2.66,0.105,31.62,0.48,293,1.586,1,6.9,0.01369
SS304,10,65.56,194,2.49,4.64,0.209,44.76,0.349,225,0.408,0,6.86,0.00151
Brass,10,33.15,94.9,8.25,7.49,0.186,32.43,0.479,207,1.243,0,6.51,0.02992
Al6061,5,69.04,211.8,5.33,0.84,0.214,27.61,0.374,303,0.774,0,7.15,0.00398
LowCarbonSteel,0,57.31,27.7,5.09,1.66,0.077,15.57,0.484,84,1.017,0,6.84,0.01838
ZnCoatedSteel,10,16.54,428.9,17.99,3.5,0.135,43.95,0.548,38,1.501,0,7.22,0.02371
ZnCoatedSteel,5,57.93,462.7,10.25,5.46,0.123,43.43,0.716,158,0.603,0,6.35,0.00877
Copper,15,54.85,604.3,5.12,4.55,0.164,58.75,0.163,71,1.459,0,6.53,0.01302
ZnCoatedSteel,10,16.06,228.2,6.21,1,0.169,66.09,0.496,62,0.551,0,6.77,0.02954
Brass,15,41.53,340.8,6.54,7.55,0.104,67.01,0.669,226,1.103,1,6.28,0.01392
ZnCoatedSteel,15,32.12,329.3,15.5,7.04,0.176,68.67,0.309,286,1.19,0,6.43,0.01977
Copper,10,59.52,240.3,10.77,7.6,0.121,40.05,0.639,131,0.655,0,6.56,0.0109
SS304,15,40.29,473.1,0.75,2.79,0.155,67,0.31,240,1.505,0,6.05,0.00291
Brass,5,55.64,395.8,1.03,3.22,0.138,37.33,0.243,256,0.947,0,6.39,0.01028
Brass,0,20.17,342.8,2.41,2.08,0.07,27.25,0.601,107,1.202,1,6.59,0.03059
SS304,15,15.99,355.3,12.82,2.98,0.108,57.89,0.636,263,1.122,0,6.65,0.00651
Al6061,0,54.72,580.4,6.12,3.97,0.138,2.26,0.108,92,1.331,1,7.41,0.00575
Al6061,0,17.59,326.7,3.93,5.37,0.067,14.9,0.69,335,1.784,0,6.4,0.03424
SS304,10,45.27,392.4,1.38,3.64,0.214,49.2,1.178,94,0.957,0,6.36,0.00247
ZnCoatedSteel,15,34.87,293.1,5.86,1.99,0.144,70.9,0.58,181,1.479,0,6.61,0.01512
Brass,0,50.33,382.7,13.11,2.29,0.108,9.55,0.703,300,2.154,1,7.06,0.01338
LowCarbonSteel,0,57.57,125.2,13.08,1.21,0.048,21.28,0.374,184,0.688,0,7.11,0.02928
Al6061,0,59.89,239,12.74,3.11,0.089,31.92,0.767,144,1.465,1,6.91,0.00519
LowCarbonSteel,5,28.28,485.6,14.43,5.33,0.17,31.46,0.247,76,2.323,0,7.41,0.05213
LowCarbonSteel,5,50.94,362.3,5.78,1.62,0.056,24.73,0.2,176,1.706,0,6.52,0.04447
Copper,0,51.03,515.6,8.63,5.5,0.074,15.41,0.228,224,1.725,1,6.22,0.01109
Al6061,10,39.32,341.6,2.12,6.13,0.134,40.68,0.577,231,1.078,1,6.23,0.00904
SS304,0,28.97,354.4,7.66,4.21,0.089,10.93,0.254,316,1.614,0,7.05,0.00435
LowCarbonSteel,5,61.5,91.9,22.37,1.69,0.079,53.11,0.359,117,1.039,0,6.96,0.03996
Copper,5,65.46,464.6,1.72,5.06,0.101,36.49,0.413,306,0.633,0,6.44,0.00914
ZnCoatedSteel,15,26.92,246.4,1.35,0.91,0.168,79.37,0.699,170,0.772,0,6.27,0.0193
Copper,15,20.63,418.9,5.7,7.05,0.157,75.47,0.027,274,1.191,0,5.62,0.03729
Al6061,10,31.37,454.6,20.06,1.79,0.146,42.3,0.37,216,0.48,0,6.82,0.01348
LowCarbonSteel,0,57.95,380.1,0.66,7.08,0.092,5.29,0.701,294,0.05,0,6.2,0.02474
SS304,5,59.23,219.7,7.02,4.72,0.06,21.88,0.156,90,2.583,0,6.57,0.00201
Brass,15,69.82,505.4,6.59,1.25,0.161,74.12,0.296,287,0.853,0,6,0.00854
Brass,5,36.05,471.9,3.56,7.69,0.192,30.92,0.595,130,1.733,0,6.69,0.01588
SS304,10,64.47,233.8,8.18,3.64,0.168,39.52,0.427,265,0.05,0,6.64,0.00113
LowCarbonSteel,5,24.45,231.1,23.11,4.65,0.202,45.77,0.487,187,0.52,0,6.54,0.05806
SS304,10,23.47,23.4,5.62,7.06,0.213,59.01,0.01,317,0.666,1,5.72,0.00277
LowCarbonSteel,5,65.57,372.7,1.32,7.2,0.086,24.35,0.249,40,1.046,1,6.38,0.01507
ZnCoatedSteel,5,51.46,237.5,7.7,3.21,0.16,48.56,1.121,85,1.153,0,6.07,0.00938
SS304,5,68.8,222,2.3,7.27,0.101,33.2,0.814,211,1.873,0,6.93,0.00142
Brass,10,27.18,276.2,6.03,1.65,0.124,54.51,0.345,320,1.584,0,5.81,0.02314
Al6061,5,48.27,280.6,2.22,1.62,0.092,45.9,0.117,25,0.831,1,6.96,0.0077
Al6061,5,43.09,468.8,1.24,4.13,0.123,47.79,1.134,318,1.482,0,6.39,0.00811
Copper,5,69.46,643.2,6.64,2.26,0.072,22.17,1.136,68,0.707,0,6.39,0.0065
ZnCoatedSteel,10,34.48,300.7,3.71,5.76,0.149,72.51,1.005,169,0.333,0,6.79,0.01586
ZnCoatedSteel,10,32.11,231.2,1.72,3.77,0.188,58.84,0.478,25,0.481,0,7.51,0.02054
Al6061,15,59.16,214.5,16.4,1.98,0.128,75.38,0.193,116,1.446,0,6.51,0.00466
Brass,0,37.18,443,20.64,7.44,0.155,25.95,0.73,225,0.115,1,6.69,0.01581
Brass,10,41.82,350.7,3.51,3.29,0.164,63.71,0.918,125,0.532,0,6.53,0.01665
Al6061,0,43.37,296,5.5,4.12,0.137,15,0.082,34,1.789,0,7.02,0.00704
LowCarbonSteel,0,62.65,311.9,10.63,5.64,0.082,14.94,0.759,27,1.095,0,7.23,0.03233
Brass,0,16.87,309.9,13.51,4.47,0.123,7.42,0.825,306,1.376,1,6.69,0.0289
SS304,5,53.17,343.8,14.74,1.75,0.129,27.78,0.62,72,1.381,0,6.81,0.00197
LowCarbonSteel,10,18.56,658.9,13.35,2.8,0.128,51.3,0.332,143,1.518,0,6.22,0.08272
Copper,5,35.63,358,8.54,0.61,0.054,41.32,0.589,122,0.517,0,6.75,0.0434
ZnCoatedSteel,0,66.85,91.6,9.23,6.86,0.063,27.15,0.086,157,1.344,0,7.06,0.00703
SS304,10,56.2,348.3,23.9,1.11,0.083,62.3,0.214,90,0.996,1,5.83,0.0008
SS304,15,47.7,260.4,9.47,7.88,0.194,58.04,0.61,88,1.193,0,6.49,0.00213
LowCarbonSteel,0,51.46,394,10.51,3.16,0.105,16.96,0.165,228,1.942,0,7.32,0.02292
Al6061,0,63.82,273.3,15.22,1.76,0.105,8.93,1.134,88,1.497,0,6.83,0.00562
Al6061,10,16.26,424.7,0.37,6.62,0.081,49.85,0.028,47,0.05,0,6.98,0.03221
ZnCoatedSteel,15,33.95,214.1,0.99,1.51,0.129,72.87,0.645,313,1.359,0,6.41,0.02369
LowCarbonSteel,15,46.72,563.2,4.58,1.2,0.17,42.81,0.682,146,1.739,0,5.8,0.03096
ZnCoatedSteel,0,54.53,262.3,8.66,5.72,0.093,8.02,0.906,309,1.032,0,6.98,0.00855
Copper,5,66.34,151.2,4.38,3.57,0.081,35.19,1.288,301,0.78,0,6.9,0.01316
LowCarbonSteel,15,48.55,475.8,3.4,6.37,0.16,50.15,0.004,81,1.201,1,6.49,0.01942
LowCarbonSteel,0,61.87,8.3,13.53,6.4,0.047,19.77,1.301,36,1.695,0,6.62,0.02472
Brass,10,33.17,327.6,6.14,4.89,0.036,64.43,0.741,118,1.341,0,5.98,0.02085
Brass,0,22.42,149.1,21.76,1.01,0.048,27.7,0.154,195,1.611,1,7.03,0.01964
LowCarbonSteel,15,34.24,401.2,5.73,6.43,0.137,62.65,1.147,214,1.124,1,5.86,0.05968
Copper,5,22.06,385.4,6.15,3.22,0.141,34.61,0.131,271,1.312,0,6.28,0.04394
LowCarbonSteel,15,39.55,316,4.59,5.09,0.186,66.45,0.635,122,0.218,0,6.61,0.04255
Brass,15,39.05,334.4,15.88,7.1,0.116,72.28,0.256,131,1.936,0,7.47,0.0295
ZnCoatedSteel,5,61.28,382.9,13.13,5.63,0.149,33.72,0.319,176,2.285,0,7.46,0.00728
ZnCoatedSteel,0,38.72,413.5,6.08,0.82,0.06,11.01,0.767,215,0.381,0,6.61,0.01445
